actor1	actor2	class
CCH Pounder	Joel David Moore	1
CCH Pounder	Wes Studi	1
CCH Pounder	Aidan Turner	1
CCH Pounder	Jimmy Bennett	1
CCH Pounder	Nicolas Cage	1
CCH Pounder	Mako	1
CCH Pounder	Jada Pinkett Smith	1
CCH Pounder	Rip Torn	1
CCH Pounder	Mark Margolis	1
CCH Pounder	Udo Kier	1
CCH Pounder	Joan Allen	1
CCH Pounder	Gary Farmer	1
CCH Pounder	Kevin Zegers	1
CCH Pounder	Aryana Engineer	1
Joel David Moore	Wes Studi	1
Joel David Moore	Robert Downey Jr.	1
Joel David Moore	Chris Zylka	1
Joel David Moore	Stephen Root	1
Joel David Moore	Kristin Davis	1
Joel David Moore	Linda Cardellini	1
Joel David Moore	Gary Cole	1
Joel David Moore	Katharine McPhee	1
Joel David Moore	Kane Hodder	1
Joel David Moore	Shirley Jones	1
Joel David Moore	Joel Murray	1
Wes Studi	Christian Bale	1
Wes Studi	Eddie Izzard	1
Wes Studi	Djimon Hounsou	1
Wes Studi	Jason Flemyng	1
Wes Studi	Janeane Garofalo	1
Wes Studi	Jon Seda	1
Wes Studi	Fisher Stevens	1
Wes Studi	Terry Kinney	1
Wes Studi	Eric Schweig	1
Wes Studi	Michael Greyeyes	1
Johnny Depp	Orlando Bloom	3
Johnny Depp	Jack Davenport	4
Johnny Depp	Christian Bale	1
Johnny Depp	Alan Rickman	2
Johnny Depp	Marlon Brando	1
Johnny Depp	Frank Langella	1
Johnny Depp	Ruth Wilson	1
Johnny Depp	Tom Wilkinson	1
Johnny Depp	Sam Claflin	1
Johnny Depp	Stephen Graham	2
Johnny Depp	Christopher Lee	3
Johnny Depp	Leonardo DiCaprio	1
Johnny Depp	Kate Winslet	1
Johnny Depp	Anne Hathaway	2
Johnny Depp	Benedict Cumberbatch	1
Johnny Depp	Richard Coyle	1
Johnny Depp	Clifton Collins Jr.	1
Johnny Depp	Ray Winstone	1
Johnny Depp	Kelly Macdonald	1
Johnny Depp	Morgan Freeman	1
Johnny Depp	Chloë Grace Moretz	1
Johnny Depp	Salma Hayek	1
Johnny Depp	Bill Murray	1
Johnny Depp	Angelina Jolie Pitt	1
Johnny Depp	Jason Flemyng	1
Johnny Depp	Charlize Theron	1
Johnny Depp	David Kelly	1
Johnny Depp	Stephen Root	1
Johnny Depp	Jordi Mollà	1
Johnny Depp	Adam Scott	1
Johnny Depp	Tom Arnold	1
Johnny Depp	Rufus Sewell	1
Johnny Depp	Michael Jeter	1
Johnny Depp	Ethan Suplee	1
Johnny Depp	Haley Joel Osment	2
Johnny Depp	Anne Heche	1
Johnny Depp	Meryl Streep	1
Johnny Depp	Al Pacino	1
Johnny Depp	Anna Kendrick	1
Johnny Depp	Kevin Dillon	1
Johnny Depp	Lena Olin	1
Johnny Depp	Martin Landau	1
Johnny Depp	Natasha Lyonne	1
Johnny Depp	Timothy Hutton	1
Johnny Depp	Dianne Wiest	1
Johnny Depp	Olivia Munn	1
Johnny Depp	Ulrich Thomsen	1
Johnny Depp	Michael Parks	1
Johnny Depp	Charles S. Dutton	1
Johnny Depp	Ellen Barkin	1
Johnny Depp	Tom Berenger	1
Johnny Depp	Conchata Ferrell	1
Johnny Depp	Faye Dunaway	1
Johnny Depp	Ian Richardson	1
Johnny Depp	Clea DuVall	1
Johnny Depp	Lin Shaye	1
Johnny Depp	Amanda Wyss	1
Johnny Depp	Joanna Lumley	1
Johnny Depp	Yaphet Kotto	1
Johnny Depp	Enrique Iglesias	1
Johnny Depp	Kevin Tighe	1
Orlando Bloom	Jack Davenport	3
Orlando Bloom	Kirsten Dunst	1
Orlando Bloom	Christopher Lee	2
Orlando Bloom	Liam Neeson	1
Orlando Bloom	Judy Greer	1
Orlando Bloom	Brad Pitt	1
Orlando Bloom	Julian Glover	1
Orlando Bloom	Logan Lerman	1
Orlando Bloom	Billy Boyd	3
Orlando Bloom	Philip Glenister	1
Orlando Bloom	Milla Jovovich	1
Orlando Bloom	Bernard Hill	1
Orlando Bloom	Tanya van Graan	1
Orlando Bloom	Conrad Kemp	1
Jack Davenport	Richard Coyle	1
Jack Davenport	Philip Seymour Hoffman	1
Jack Davenport	Matt Damon	1
Jack Davenport	Debra Messing	1
Jack Davenport	Holland Taylor	1
Christoph Waltz	Rory Kinnear	1
Christoph Waltz	Stephanie Sigman	1
Christoph Waltz	Kevin Spacey	1
Christoph Waltz	Tom Wilkinson	1
Christoph Waltz	Leonardo DiCaprio	1
Christoph Waltz	Kate Winslet	1
Christoph Waltz	Alexander Skarsgård	1
Christoph Waltz	James Frain	1
Christoph Waltz	Brad Pitt	1
Christoph Waltz	Casper Crump	1
Christoph Waltz	Michael Fassbender	1
Christoph Waltz	Robert Pattinson	1
Christoph Waltz	Ato Essandoh	1
Christoph Waltz	Chad L. Coleman	1
Christoph Waltz	Danny Huston	1
Christoph Waltz	Lindsay Sloane	1
Christoph Waltz	Julie Adams	1
Christoph Waltz	Jon Polito	1
Rory Kinnear	Stephanie Sigman	1
Rory Kinnear	Giancarlo Giannini	1
Rory Kinnear	Mathieu Amalric	1
Rory Kinnear	Albert Finney	1
Rory Kinnear	Helen McCrory	1
Rory Kinnear	Benedict Cumberbatch	1
Rory Kinnear	Allen Leech	1
Tom Hardy	Christian Bale	1
Tom Hardy	Joseph Gordon-Levitt	2
Tom Hardy	Tom Wilkinson	1
Tom Hardy	Leonardo DiCaprio	2
Tom Hardy	Kevin Dunn	1
Tom Hardy	Gerard Butler	1
Tom Hardy	Charlize Theron	1
Tom Hardy	Zoë Kravitz	1
Tom Hardy	Lukas Haas	1
Tom Hardy	Paul Anderson	1
Tom Hardy	Frank Grillo	1
Tom Hardy	LeVar Burton	1
Tom Hardy	Jonathan Frakes	1
Tom Hardy	Kevin McNally	1
Tom Hardy	Jack O'Connell	1
Tom Hardy	Abigail Spencer	1
Tom Hardy	Warren Christie	1
Tom Hardy	Jamie Foreman	1
Tom Hardy	Sally Hawkins	1
Tom Hardy	Fares Fares	1
Tom Hardy	Michael Nardone	1
Tom Hardy	Tara Fitzgerald	1
Tom Hardy	James Lance	1
Tom Hardy	Matt King	1
Christian Bale	Joseph Gordon-Levitt	1
Christian Bale	J.K. Simmons	1
Christian Bale	Kirsten Dunst	1
Christian Bale	Scarlett Johansson	1
Christian Bale	Stephen Graham	1
Christian Bale	Liam Neeson	1
Christian Bale	Bryce Dallas Howard	1
Christian Bale	Hugh Jackman	1
Christian Bale	Eddie Izzard	1
Christian Bale	Common	1
Christian Bale	Jennifer Lawrence	1
Christian Bale	Heath Ledger	2
Christian Bale	Morgan Freeman	2
Christian Bale	Gerard Butler	1
Christian Bale	Bradley Cooper	1
Christian Bale	Matthew McConaughey	1
Christian Bale	María Valverde	1
Christian Bale	Ben Mendelsohn	1
Christian Bale	Sam Shepard	1
Christian Bale	Jean Simmons	1
Christian Bale	Logan Lerman	1
Christian Bale	Justin Theroux	1
Christian Bale	Reg E. Cathey	1
Christian Bale	Blythe Danner	1
Christian Bale	Vanessa Williams	1
Christian Bale	Ni Ni	1
Christian Bale	Shigeo Kobayashi	1
Christian Bale	Frank Welker	1
Christian Bale	Jennifer Jason Leigh	1
Christian Bale	Emily Watson	1
Christian Bale	Sean Pertwee	1
Christian Bale	Samantha Mathis	1
Christian Bale	Daniel von Bargen	1
Christian Bale	Ryan Gosling	1
Christian Bale	Irene Papas	1
Christian Bale	Mihalis Giannatos	1
Christian Bale	Irene Bedard	1
Christian Bale	Gretchen Mol	1
Christian Bale	Noel Gugliemi	1
Christian Bale	Eric Stoltz	1
Christian Bale	Melissa McMeekin	1
Christian Bale	Michael Greyeyes	1
Christian Bale	Charlie Talbert	1
Christian Bale	Dendrie Taylor	1
Christian Bale	Tyrone Benskin	1
Christian Bale	Jack McGee	1
Christian Bale	Toby Huss	1
Christian Bale	François Chau	1
Christian Bale	Janet McTeer	1
Joseph Gordon-Levitt	Scarlett Johansson	1
Joseph Gordon-Levitt	Eva Green	1
Joseph Gordon-Levitt	Leonardo DiCaprio	1
Joseph Gordon-Levitt	Bryce Dallas Howard	1
Joseph Gordon-Levitt	Channing Tatum	1
Joseph Gordon-Levitt	Heath Ledger	1
Joseph Gordon-Levitt	Rainn Wilson	1
Joseph Gordon-Levitt	Chloë Grace Moretz	1
Joseph Gordon-Levitt	Dennis Quaid	1
Joseph Gordon-Levitt	Leo Howard	1
Joseph Gordon-Levitt	Natalie Portman	1
Joseph Gordon-Levitt	Aasif Mandvi	1
Joseph Gordon-Levitt	Martin Short	1
Joseph Gordon-Levitt	Bruce Willis	2
Joseph Gordon-Levitt	Wayne Knight	1
Joseph Gordon-Levitt	Demi Moore	1
Joseph Gordon-Levitt	Abbie Cornish	1
Joseph Gordon-Levitt	Michael Wincott	1
Joseph Gordon-Levitt	Zooey Deschanel	1
Joseph Gordon-Levitt	Anne Heche	1
Joseph Gordon-Levitt	Bruce McGill	1
Joseph Gordon-Levitt	Anna Kendrick	1
Joseph Gordon-Levitt	Hal Holbrook	1
Joseph Gordon-Levitt	Dania Ramirez	1
Joseph Gordon-Levitt	Jacqueline Bisset	1
Joseph Gordon-Levitt	Omari Hardwick	1
Joseph Gordon-Levitt	Laz Alonso	1
Joseph Gordon-Levitt	Kristen Johnston	1
Joseph Gordon-Levitt	Soleyman Pierini	1
Joseph Gordon-Levitt	Jade Kindar-Martin	1
Joseph Gordon-Levitt	Tracie Thoms	1
Joseph Gordon-Levitt	Rob McElhenney	1
Joseph Gordon-Levitt	Andrew Keegan	1
Joseph Gordon-Levitt	Tony Danza	1
Doug Walker	Rob Walker	1
Daryl Sabara	Samantha Morton	1
Daryl Sabara	Polly Walker	1
Daryl Sabara	Robin Williams	1
Daryl Sabara	Richard Burgi	1
Daryl Sabara	Cheech Marin	1
Daryl Sabara	Joel McHale	1
Daryl Sabara	Alexa PenaVega	2
Daryl Sabara	Henry Simmons	1
Daryl Sabara	Magda Apanowicz	1
Samantha Morton	Polly Walker	1
Samantha Morton	Sam Riley	1
Samantha Morton	Philip Seymour Hoffman	1
Samantha Morton	Billy Crudup	1
Samantha Morton	Jennifer Jason Leigh	1
Samantha Morton	Dexter Fletcher	1
Samantha Morton	Miriam Margolyes	1
Samantha Morton	Om Puri	1
Samantha Morton	Rupert Graves	1
Samantha Morton	Alexandra Maria Lara	1
Samantha Morton	Mark Webber	1
Samantha Morton	Linus Roache	1
Samantha Morton	Natalie Mendoza	1
Samantha Morton	Bryan Dick	1
Samantha Morton	Paul Popplewell	1
Samantha Morton	Jessica Chastain	1
Samantha Morton	Colin Farrell	1
Polly Walker	Harrison Ford	1
Polly Walker	Patrick Bergin	1
J.K. Simmons	James Franco	3
J.K. Simmons	Kirsten Dunst	3
J.K. Simmons	Kate Winslet	1
J.K. Simmons	Jon Favreau	1
J.K. Simmons	Mila Kunis	1
J.K. Simmons	Olivia Wilde	1
J.K. Simmons	Tom Hanks	1
J.K. Simmons	Brad Pitt	3
J.K. Simmons	Jake Gyllenhaal	1
J.K. Simmons	Clifton Collins Jr.	1
J.K. Simmons	Rainn Wilson	1
J.K. Simmons	Angelina Jolie Pitt	1
J.K. Simmons	Bradley Cooper	1
J.K. Simmons	Emilia Clarke	1
J.K. Simmons	Matt Smith	1
J.K. Simmons	Jennifer Garner	1
J.K. Simmons	Bruce Willis	1
J.K. Simmons	Wayne Knight	1
J.K. Simmons	Peter Mensah	1
J.K. Simmons	Lukas Haas	1
J.K. Simmons	Stephen Root	1
J.K. Simmons	Amy Sedaris	1
J.K. Simmons	Will Ferrell	1
J.K. Simmons	Julia Roberts	1
J.K. Simmons	Frances Conroy	1
J.K. Simmons	Kelly Preston	1
J.K. Simmons	Kevin Sussman	1
J.K. Simmons	Meryl Streep	1
J.K. Simmons	Anna Kendrick	1
J.K. Simmons	Virginia Madsen	1
J.K. Simmons	Viggo Mortensen	1
J.K. Simmons	Brooke Smith	1
J.K. Simmons	Paul Guilfoyle	1
J.K. Simmons	Elaine Stritch	1
J.K. Simmons	Sophie Okonedo	1
J.K. Simmons	Chris Mulkey	1
J.K. Simmons	Carmine Giovinazzo	1
J.K. Simmons	Harry Connick Jr.	1
J.K. Simmons	Noel Gugliemi	1
J.K. Simmons	Jane Curtin	1
J.K. Simmons	Sam Trammell	1
J.K. Simmons	Bill Nunn	1
J.K. Simmons	Melissa Benoist	1
J.K. Simmons	Chris Lowell	1
J.K. Simmons	Zach Gilford	1
J.K. Simmons	Cameron Bright	1
J.K. Simmons	David O'Hara	1
J.K. Simmons	Bruce Dern	1
J.K. Simmons	Bobby Coleman	1
J.K. Simmons	Cynthia Stevenson	1
J.K. Simmons	Todd Louiso	1
James Franco	Kirsten Dunst	3
James Franco	Chris Evans	1
James Franco	Tyler Labine	2
James Franco	Tim Holmes	1
James Franco	Mila Kunis	2
James Franco	Jeff Bridges	1
James Franco	Jason Statham	1
James Franco	Channing Tatum	1
James Franco	Salma Hayek	1
James Franco	Steve Carell	1
James Franco	Mackenzie Foy	1
James Franco	Charlize Theron	1
James Franco	Natalie Portman	1
James Franco	Billy Crudup	1
James Franco	Emma Watson	1
James Franco	Bruce Davison	1
James Franco	Julia Roberts	1
James Franco	Frank Grillo	1
James Franco	Robert De Niro	1
James Franco	Zooey Deschanel	1
James Franco	Rosie Perez	1
James Franco	David Oyelowo	1
James Franco	Gary Cole	1
James Franco	Treat Williams	1
James Franco	Denis O'Hare	1
James Franco	Philip Winchester	1
James Franco	Clayne Crawford	1
James Franco	Paolo Montalban	1
James Franco	Barry Corbin	1
James Franco	Norman Reedus	1
James Franco	Robert Davi	1
James Franco	Randall Park	1
James Franco	Anders Holm	2
James Franco	John Doman	1
James Franco	Jodi Lyn O'Keefe	1
James Franco	Frankie Muniz	1
James Franco	Piper Laurie	1
James Franco	Kate Burton	1
James Franco	Lucas Grabeel	1
James Franco	Marla Sokoloff	1
James Franco	Nat Wolff	1
James Franco	Heather Morris	1
James Franco	Rachel Korine	1
James Franco	Olivia Crocicchia	1
Kirsten Dunst	Frank Langella	1
Kirsten Dunst	Tom Wilkinson	1
Kirsten Dunst	Kate Winslet	1
Kirsten Dunst	Alexander Skarsgård	1
Kirsten Dunst	Judy Greer	1
Kirsten Dunst	Jon Favreau	1
Kirsten Dunst	Kelsey Grammer	1
Kirsten Dunst	Mila Kunis	1
Kirsten Dunst	Ryan Reynolds	1
Kirsten Dunst	Brad Pitt	1
Kirsten Dunst	Oliver Platt	1
Kirsten Dunst	Tom Cruise	1
Kirsten Dunst	Kristen Stewart	1
Kirsten Dunst	Rip Torn	1
Kirsten Dunst	John Michael Higgins	1
Kirsten Dunst	Sam Shepard	1
Kirsten Dunst	Will Ferrell	1
Kirsten Dunst	Scott Glenn	1
Kirsten Dunst	Julia Roberts	1
Kirsten Dunst	Adam Scott	1
Kirsten Dunst	Robert De Niro	1
Kirsten Dunst	Denis Leary	1
Kirsten Dunst	Shirley Henderson	1
Kirsten Dunst	Carmen Electra	1
Kirsten Dunst	Viggo Mortensen	1
Kirsten Dunst	Adam Goldberg	1
Kirsten Dunst	Charlotte Rampling	1
Kirsten Dunst	Jay Hernandez	1
Kirsten Dunst	Marian Seldes	1
Kirsten Dunst	Kathleen Turner	1
Kirsten Dunst	Ryan Gosling	1
Kirsten Dunst	Ellen Barkin	1
Kirsten Dunst	Bernadette Peters	1
Kirsten Dunst	Robert Picardo	1
Kirsten Dunst	Eric Stoltz	1
Kirsten Dunst	Lindsay Sloane	1
Kirsten Dunst	Austin Nichols	1
Kirsten Dunst	Kirstie Alley	1
Kirsten Dunst	Paul Sparks	1
Kirsten Dunst	Rolando Molina	1
Kirsten Dunst	Clare Kramer	1
Kirsten Dunst	Andrew Rannells	1
Brad Garrett	Donna Murphy	1
Brad Garrett	M.C. Gainey	1
Brad Garrett	Vin Diesel	1
Brad Garrett	Stephen Root	1
Brad Garrett	Nathan Lane	1
Brad Garrett	Melanie Griffith	1
Brad Garrett	Scott Porter	1
Brad Garrett	Noel Fisher	1
Brad Garrett	Stephen Amell	1
Brad Garrett	Alexander Gould	1
Brad Garrett	Haley Bennett	1
Brad Garrett	Tate Donovan	1
Donna Murphy	M.C. Gainey	1
Donna Murphy	Michael Chernus	1
Donna Murphy	Bill Irwin	1
M.C. Gainey	Paul Walker	1
M.C. Gainey	Jake Gyllenhaal	1
M.C. Gainey	Nick Stahl	1
M.C. Gainey	Carolyn Hennesy	1
M.C. Gainey	Virginia Madsen	1
M.C. Gainey	Kathleen Quinlan	1
M.C. Gainey	J.T. Walsh	1
M.C. Gainey	A.J. Langer	1
M.C. Gainey	Patrick Gallagher	1
M.C. Gainey	Mark Rolston	1
Chris Hemsworth	Robert Downey Jr.	2
Chris Hemsworth	Scarlett Johansson	2
Chris Hemsworth	Sam Claflin	2
Chris Hemsworth	Olivia Wilde	1
Chris Hemsworth	Bruce Greenwood	1
Chris Hemsworth	Kristen Stewart	1
Chris Hemsworth	Anthony Hopkins	2
Chris Hemsworth	Charlize Theron	1
Chris Hemsworth	Natalie Portman	2
Chris Hemsworth	Leonard Nimoy	1
Chris Hemsworth	Benjamin Walker	1
Chris Hemsworth	Frank Dillane	1
Chris Hemsworth	Milla Jovovich	1
Chris Hemsworth	Paul Sanchez	1
Chris Hemsworth	Mike Starr	1
Chris Hemsworth	Archie Kao	1
Chris Hemsworth	Brandon Molale	1
Chris Hemsworth	Kristen Connolly	1
Chris Hemsworth	Norman Reedus	1
Chris Hemsworth	Bradley Whitford	1
Chris Hemsworth	Alexandra Maria Lara	1
Chris Hemsworth	Marley Shelton	1
Chris Hemsworth	Beverly D'Angelo	1
Robert Downey Jr.	Scarlett Johansson	4
Robert Downey Jr.	Kristin Scott Thomas	1
Robert Downey Jr.	Chris Evans	1
Robert Downey Jr.	Jon Favreau	3
Robert Downey Jr.	Don Cheadle	1
Robert Downey Jr.	Jeff Bridges	1
Robert Downey Jr.	Eddie Marsan	2
Robert Downey Jr.	Jake Gyllenhaal	1
Robert Downey Jr.	Jim Broadbent	1
Robert Downey Jr.	Robin Wright	1
Robert Downey Jr.	Keanu Reeves	1
Robert Downey Jr.	Steve Coogan	1
Robert Downey Jr.	Rip Torn	1
Robert Downey Jr.	Ty Burrell	1
Robert Downey Jr.	Stephen Root	1
Robert Downey Jr.	Alfre Woodard	1
Robert Downey Jr.	Paul Anderson	1
Robert Downey Jr.	Robert Duvall	2
Robert Downey Jr.	RZA	1
Robert Downey Jr.	Alex Borstein	1
Robert Downey Jr.	Jamie Kennedy	1
Robert Downey Jr.	Kristin Davis	1
Robert Downey Jr.	Bernard Hill	1
Robert Downey Jr.	Holly Hunter	1
Robert Downey Jr.	Brandon T. Jackson	1
Robert Downey Jr.	Robert Maillet	1
Robert Downey Jr.	Rachael Harris	1
Robert Downey Jr.	Larry Miller	1
Robert Downey Jr.	Anthony Edwards	1
Robert Downey Jr.	Rory Cochrane	1
Robert Downey Jr.	Matt Walsh	1
Robert Downey Jr.	Paul Guilfoyle	1
Robert Downey Jr.	Tate Donovan	1
Robert Downey Jr.	Leighton Meester	1
Robert Downey Jr.	Adam Alexi-Malle	1
Robert Downey Jr.	Charles S. Dutton	1
Robert Downey Jr.	Kelvin Han Yee	1
Robert Downey Jr.	Megan Park	1
Robert Downey Jr.	Aidan Quinn	1
Robert Downey Jr.	Richard Thomas	1
Robert Downey Jr.	Hope Davis	1
Robert Downey Jr.	Steve Guttenberg	1
Robert Downey Jr.	Matt Servitto	1
Robert Downey Jr.	Corbin Bernsen	1
Robert Downey Jr.	Natasha Gregson Wagner	1
Robert Downey Jr.	Angel David	1
Scarlett Johansson	Tom Wilkinson	1
Scarlett Johansson	Kristin Scott Thomas	1
Scarlett Johansson	Chris Evans	2
Scarlett Johansson	Jon Favreau	1
Scarlett Johansson	Hugh Jackman	1
Scarlett Johansson	Steve Buscemi	2
Scarlett Johansson	Kevin Dunn	1
Scarlett Johansson	Benedict Cumberbatch	1
Scarlett Johansson	Colin Firth	1
Scarlett Johansson	Channing Tatum	1
Scarlett Johansson	Morgan Freeman	1
Scarlett Johansson	Dennis Quaid	1
Scarlett Johansson	Bill Murray	2
Scarlett Johansson	Garry Shandling	1
Scarlett Johansson	Hayley Atwell	1
Scarlett Johansson	Djimon Hounsou	1
Scarlett Johansson	Jaime King	1
Scarlett Johansson	Natalie Portman	1
Scarlett Johansson	Ty Burrell	1
Scarlett Johansson	Penelope Wilton	1
Scarlett Johansson	Matt Damon	1
Scarlett Johansson	Stephanie Szostak	1
Scarlett Johansson	T.J. Thyne	1
Scarlett Johansson	Bill Fagerbakke	1
Scarlett Johansson	Mike Starr	1
Scarlett Johansson	Kevin McNally	1
Scarlett Johansson	Jessalyn Gilsig	1
Scarlett Johansson	Mia Kirshner	1
Scarlett Johansson	Louis Lombardi	1
Scarlett Johansson	Amr Waked	1
Scarlett Johansson	Alden Ehrenreich	1
Scarlett Johansson	Riley Smith	1
Scarlett Johansson	Rodger Bumpass	1
Scarlett Johansson	Mark Gatiss	1
Scarlett Johansson	Doug E. Doug	1
Scarlett Johansson	Christopher Evan Welch	1
Scarlett Johansson	Brian Johnson	1
Scarlett Johansson	Matt Letscher	1
Scarlett Johansson	Paul Brannigan	1
Scarlett Johansson	Alison Chand	1
Scarlett Johansson	Geoff Bell	1
Scarlett Johansson	Tony Danza	1
Scarlett Johansson	Catherine Lambert	1
Alan Rickman	Daniel Radcliffe	1
Alan Rickman	Rupert Grint	1
Alan Rickman	Tom Wilkinson	1
Alan Rickman	Kate Winslet	1
Alan Rickman	Liam Neeson	1
Alan Rickman	Anne Hathaway	2
Alan Rickman	Morgan Freeman	1
Alan Rickman	Bruce Willis	1
Alan Rickman	Ben Mendelsohn	1
Alan Rickman	Julia Roberts	1
Alan Rickman	Michael Wincott	1
Alan Rickman	Tom Selleck	1
Alan Rickman	Freddy Rodríguez	1
Alan Rickman	Enrico Colantoni	1
Alan Rickman	Robin Sachs	1
Alan Rickman	Greg Collins	1
Alan Rickman	Reginald VelJohnson	1
Daniel Radcliffe	Rupert Grint	4
Daniel Radcliffe	Gary Oldman	1
Daniel Radcliffe	Morgan Freeman	1
Daniel Radcliffe	Robert Pattinson	2
Daniel Radcliffe	Fiona Shaw	2
Daniel Radcliffe	Emma Watson	1
Daniel Radcliffe	Verne Troyer	1
Daniel Radcliffe	Jamie Lee Curtis	1
Daniel Radcliffe	Mark Margolis	1
Daniel Radcliffe	Sanaa Lathan	1
Daniel Radcliffe	Spencer Wilding	1
Daniel Radcliffe	Daniel Mays	1
Daniel Radcliffe	Roger Allam	1
Daniel Radcliffe	Jessica Raine	1
Rupert Grint	Julie Walters	1
Rupert Grint	Gary Oldman	1
Rupert Grint	Tamsin Egerton	1
Rupert Grint	Rupert Everett	1
Rupert Grint	Robert Pattinson	1
Rupert Grint	Emma Watson	1
Rupert Grint	Toby Jones	1
Rupert Grint	Dave Legeno	1
Rupert Grint	Ralph Ineson	1
Rupert Grint	Alfred Enoch	1
Rupert Grint	Geoff Bell	1
Henry Cavill	Lauren Cohan	1
Henry Cavill	Alan D. Purwin	1
Henry Cavill	Christopher Meloni	1
Henry Cavill	Harry Lennix	1
Henry Cavill	James Frain	1
Henry Cavill	Elizabeth Debicki	1
Henry Cavill	David Kelly	1
Henry Cavill	Bruce Willis	1
Henry Cavill	Michael Wincott	1
Henry Cavill	Christian Berkel	1
Henry Cavill	Daniel Sharman	1
Henry Cavill	Steve Byers	1
Henry Cavill	Nathaniel Parker	1
Henry Cavill	Óscar Jaenada	1
Lauren Cohan	Alan D. Purwin	1
Lauren Cohan	Peter Dinklage	1
Lauren Cohan	Erick Avari	1
Lauren Cohan	Rupert Evans	1
Lauren Cohan	Stephanie Lemelin	1
Kevin Spacey	Marlon Brando	1
Kevin Spacey	Frank Langella	1
Kevin Spacey	Kate Winslet	1
Kevin Spacey	Jeff Bridges	2
Kevin Spacey	John Ratzenberger	1
Kevin Spacey	Oliver Platt	1
Kevin Spacey	Morgan Freeman	1
Kevin Spacey	Matthew McConaughey	1
Kevin Spacey	Josh Gad	1
Kevin Spacey	Matt Craven	1
Kevin Spacey	Rene Russo	1
Kevin Spacey	Stephen Root	1
Kevin Spacey	Alfre Woodard	1
Kevin Spacey	Scott Glenn	1
Kevin Spacey	Bob Gunton	1
Kevin Spacey	Demi Moore	1
Kevin Spacey	Chazz Palminteri	1
Kevin Spacey	Benedict Wong	1
Kevin Spacey	Jim Sturgess	1
Kevin Spacey	Haley Joel Osment	1
Kevin Spacey	Al Pacino	1
Kevin Spacey	Bob Hoskins	1
Kevin Spacey	Kevin Pollak	1
Kevin Spacey	Paul Guilfoyle	1
Kevin Spacey	Siobhan Fallon Hogan	1
Kevin Spacey	Peter Gallagher	1
Kevin Spacey	Michael Cudlitz	1
Kevin Spacey	Madeline Kahn	1
Kevin Spacey	Eric Schweig	1
Kevin Spacey	Lindsay Sloane	2
Kevin Spacey	Angie Dickinson	1
Kevin Spacey	Reginald Ballard	1
Kevin Spacey	Matt McCoy	1
Kevin Spacey	Ashley Williams	1
Kevin Spacey	Leon Rippy	1
Kevin Spacey	Jason Behr	1
Kevin Spacey	Brenda Blethyn	1
Kevin Spacey	Ara Celi	1
Kevin Spacey	Jude Ciccolella	1
Kevin Spacey	Christian Campbell	1
Kevin Spacey	Matt Berry	1
Marlon Brando	Frank Langella	1
Marlon Brando	Temuera Morrison	1
Marlon Brando	Harrison Ford	1
Marlon Brando	Robert Duvall	2
Marlon Brando	Robert De Niro	1
Marlon Brando	Al Pacino	1
Marlon Brando	Gary Farmer	1
Marlon Brando	Ned Beatty	1
Marlon Brando	Margot Kidder	1
Marlon Brando	Faye Dunaway	1
Marlon Brando	Rod Steiger	1
Marlon Brando	Marco Hofschneider	1
Marlon Brando	Karl Malden	2
Marlon Brando	Kim Hunter	1
Frank Langella	Liam Neeson	1
Frank Langella	Keanu Reeves	1
Frank Langella	Charlize Theron	1
Frank Langella	Robin Williams	1
Frank Langella	Matthew Broderick	1
Frank Langella	Celia Weston	1
Frank Langella	Emma Watson	1
Frank Langella	Mark Margolis	1
Frank Langella	Derek Jacobi	1
Frank Langella	Christopher Masterson	1
Frank Langella	Matthew Modine	1
Frank Langella	Austin Pendleton	1
Frank Langella	Paz Vega	1
Frank Langella	John Gielgud	1
Frank Langella	Lena Olin	1
Frank Langella	John Buffalo Mailer	1
Frank Langella	Ryan Gosling	1
Frank Langella	Aidan Quinn	1
Frank Langella	William Hootkins	1
Frank Langella	Gillian Jacobs	1
Frank Langella	Joshua Ormond	1
Frank Langella	Ana Gasteyer	1
Giancarlo Giannini	Mathieu Amalric	1
Giancarlo Giannini	Denzel Washington	1
Giancarlo Giannini	Lena Olin	1
Giancarlo Giannini	Radha Mitchell	1
Giancarlo Giannini	Francesc Pagès	1
Mathieu Amalric	Ayelet Zurer	1
Mathieu Amalric	Moritz Bleibtreu	1
Mathieu Amalric	Emmanuelle Seigner	1
Mathieu Amalric	Isaach De Bankolé	1
Mathieu Amalric	Sara Forestier	1
Mathieu Amalric	Edouard Baer	1
Mathieu Amalric	Léa Drucker	1
Mathieu Amalric	Laurent Poitrenaux	1
Ruth Wilson	Tom Wilkinson	1
Ruth Wilson	B.J. Novak	1
Ruth Wilson	Tom Hanks	1
Ruth Wilson	Indira Varma	1
Ruth Wilson	Warren Brown	1
Tom Wilkinson	Mark Addy	1
Tom Wilkinson	Thomas Kretschmann	1
Tom Wilkinson	Kate Winslet	2
Tom Wilkinson	Jim Broadbent	1
Tom Wilkinson	Robin Wright	1
Tom Wilkinson	Colin Firth	2
Tom Wilkinson	Heath Ledger	1
Tom Wilkinson	Tom Cruise	1
Tom Wilkinson	Bill Murray	1
Tom Wilkinson	Cary-Hiroyuki Tagawa	1
Tom Wilkinson	Gerard Butler	1
Tom Wilkinson	Julia Ormond	1
